Time (s) 1#1,Angle (rad) 1#1,Time (s) 1A#1,Angle (rad) 1A#1,Time (s) 1A#2,Angle (rad) 1A#2,Time (s) 1B#1,Angle (rad) 1B#1,Time (s) 1B#2,Angle (rad) 1B#2,Time (s) 1C#1,Angle (rad) 1C#1,Time (s) 1AB#1,Angle (rad) 1AB#1,Time (s) 1AB#2,Angle (rad) 1AB#2,Time (s) 1AC#1,Angle (rad) 1AC#1,Time (s) 1BC#1,Angle (rad) 1BC#1,Time (s) 1ABC#1,Angle (rad) 1ABC#1,Time (s) 1ABC#2,Angle (rad) 1ABC#2,Time (s) 2#1,Angle (rad) 2#1,Time (s) 2A#1,Angle (rad) 2A#1,Time (s) 2B#1,Angle (rad) 2B#1,Time (s) 2C#1,Angle (rad) 2C#1,Time (s) 2C#2,Angle (rad) 2C#2,Time (s) 2AB#1,Angle (rad) 2AB#1,Time (s) 2AC#1,Angle (rad) 2AC#1,Time (s) 2BC#1,Angle (rad) 2BC#1,Time (s) 2ABC#1,Angle (rad) 2ABC#1,Time (s) 3#1,Angle (rad) 3#1,Time (s) 3A#1,Angle (rad) 3A#1,Time (s) 3B#1,Angle (rad) 3B#1,Time (s) 3C#1,Angle (rad) 3C#1,Time (s) 3AB#1,Angle (rad) 3AB#1,Time (s) 3AB#2,Angle (rad) 3AB#2,Time (s) 3AC#1,Angle (rad) 3AC#1,Time (s) 3BC#1,Angle (rad) 3BC#1,Time (s) 3BC#2,Angle (rad) 3BC#2,Time (s) 3ABC#1,Angle (rad) 3ABC#1,Time (s) 4#1,Angle (rad) 4#1,Time (s) 4A#1,Angle (rad) 4A#1,Time (s) 4B#1,Angle (rad) 4B#1,Time (s) 4C#1,Angle (rad) 4C#1,Time (s) 4AB#1,Angle (rad) 4AB#1,Time (s) 4AC#1,Angle (rad) 4AC#1,Time (s) 4BC#1,Angle (rad) 4BC#1,Time (s) 4BC#2,Angle (rad) 4BC#2,Time (s) 4ABC#1,Angle (rad) 4ABC#1
4.406499999999999,1.2837077723447896,5.9465,-5.298317366548036,3.1990000000000003,-3.9633162998156966,6.1194999999999995,1.5009614360980166,4.556,1.5179803019452653,3.952,-5.115995809754082,3.3405,-6.214608098422191,6.817,1.5532907518110994,3.7449999999999997,-4.710530701645918,4.5035,-5.809142990314028,7.6625,1.547562508716013,7.0264999999999995,-6.214608098422191,2.9515000000000002,0.7598708126028534,2.528,-6.214608098422191,2.393,0.5938791789012763,4.082,0.6841064359077962,3.3395,-6.214608098422191,5.7965,0.745739630679116,1.8685,-6.214608098422191,3.4709999999999996,-4.8283137373023015,5.1225000000000005,0.8402732454502392,3.0909999999999997,-0.30381145438166457,4.317,-0.0397808700118446,3.2505,-0.1427163022015952,2.3295,-4.8283137373023015,8.75,0.011928570865273812,2.914,-0.11428914640212766,3.0389999999999997,-6.214608098422191,2.287,-0.16134315040876293,3.227,-4.074541934925921,6.045,0.07603468627599758,0.0395,-5.298317366548036,4.2490000000000006,-2.282782465697866,3.7375000000000003,-2.0874737133771,2.7840000000000003,-5.809142990314028,3.1015,-5.809142990314028,4.619,-1.8904754421672127,1.7034999999999998,-2.312635428847547,2.617,-1.6607312068216509,3.5155,-1.851509473633829
5.505,1.5471368862367212,8.38,1.637636566792779,6.2235000000000005,1.553502280103797,7.839499999999999,1.4102549985647341,5.5305,1.4949245256453396,6.0515,1.5591966959973536,6.4415,1.4400720668003617,9.7285,1.460705858633701,5.362500000000001,1.6030173446311777,6.1815,1.5706970841176697,9.3585,1.4518479918593294,8.815,1.5690324977990613,3.2285,0.8662597982685901,3.8470000000000004,0.6502396795486688,2.768,0.6173454671436635,4.4965,0.6770177986300616,3.4765,-5.809142990314028,6.242000000000001,0.7518876755825454,3.072,0.688134638736401,4.6795,0.7217346374118577,6.26,0.9090646867824156,3.967,-0.23572233352106983,4.761500000000001,-0.006018072325563021,3.41,-0.44941699563734716,3.3419999999999996,-0.11204950380862289,9.169,0.018821754240587667,3.832,-0.046043938501406846,4.406499999999999,0.15357908792830058,2.6505,-0.164874643190234,4.2355,0.20212418409013433,6.444999999999999,0.07045846364856137,0.225,-5.809142990314028,4.5665,-2.5257286443082556,4.000500000000001,-2.1892564076870427,3.4515000000000002,-1.9805015938249322,3.6435,-1.9241486572738007,5.238,-1.6928195213731514,1.9685000000000001,-2.4651040224918206,2.9265,-1.8140050781753747,3.678,-1.8578992717326
5.881,1.544792718940569,9.702,1.4518479918593294,7.487,1.5303947050936475,8.520999999999999,1.370164979190007,7.0335,1.4192454612595766,8.9675,1.5051878910603012,7.812,1.3457327493637679,10.681999999999999,1.4269563428387804,6.5440000000000005,1.5310438450060884,6.3315,1.564858869036133,10.422,1.3895390912847796,9.394,1.5604577302123817,3.621,0.7352483565785807,4.75,0.5341514490694873,2.9074999999999998,0.6439569363691735,4.6425,0.6841064359077962,5.103,0.885419068207068,6.6685,0.688134638736401,3.4915000000000003,0.7376424204464966,5.136,0.6951451832226183,6.404,0.9134868045414208,5.289499999999999,-0.3930425881096072,4.9545,-0.48288625507674926,3.5765000000000002,-0.8867319296326107,3.7059999999999995,-0.09101939838716855,9.32,0.03343477608623742,4.0715,-0.14966077455440627,4.7505,0.10526051065749294,2.989,-0.06613980250454495,4.3385,0.20212418409013433,6.7665,0.003992021269537457,0.41000000000000003,-5.809142990314028,4.7465,-2.563949857128453,4.1495,-2.234926444520231,3.5965000000000003,-2.0249533563957662,3.9705,-1.9449106487222299,5.455,-1.783791299578878,2.1475,-2.5257286443082556,3.108,-1.8388510767619055,3.915,-1.9449106487222299
6.8845,1.4581497982203186,10.513,1.5249687558076503,8.4745,1.4548871525855023,9.1795,1.320421616969183,7.715999999999999,1.3573803509552484,9.606499999999999,1.479101410706097,8.7735,1.2559008971862953,11.609,1.3825373122421782,7.473,1.499846235804006,7.582999999999999,1.4877221537500038,11.4425,1.3423424735907077,11.370000000000001,1.4590800308455383,3.895,0.8307328435125084,5.132,0.6528458837864196,3.182,0.41277168329060243,4.946000000000001,0.6780335427498971,5.4295,0.8948627844605347,7.1005,0.6652619770704097,3.6685,0.7285143243972366,5.526,0.6866259635696799,6.882,0.8649974374866045,5.544,-0.36961545521446726,5.181,-1.04412410338404,3.7525,-1.0613165039244128,3.9579999999999997,-0.3340751120214915,9.5565,-0.10536051565782628,4.3275,-0.2561834053924099,5.378,0.10526051065749294,3.2689999999999997,-0.048140375327934984,4.671,-0.08992470752798701,7.046499999999999,-0.040821994520255166,0.5945,-5.809142990314028,4.925000000000001,-2.631089159966082,4.2985,-2.2926347621408776,3.739,-2.0874737133771,4.231,-2.0402208285265546,5.662,-1.8140050781753747,2.3275,-2.5902671654458267,3.2889999999999997,-1.9105430052180221,4.1485,-1.9805015938249322
7.339,1.4119621078684685,11.306000000000001,1.3691482022849202,9.285,1.428395537138526,9.8515,1.2960960932017418,8.373,1.3291947690793178,10.235999999999999,1.4447990904924535,9.694,1.2363431843563868,12.558,1.3560928523867692,8.381,1.4590800308455383,8.4005,1.43746264769429,12.501,1.2897834607390468,12.435,1.4124493185967417,4.181,0.8184573715253919,5.4565,0.25075871834718305,3.4945,0.18647956694261839,5.2745,0.676509539406922,5.7090000000000005,0.8915881192337832,7.528,0.6291418505840328,4.095,0.6780335427498971,5.9155,0.6015799870344548,7.364000000000001,0.836381348645853,5.6754999999999995,-0.39452516806982996,5.3915,-1.058430499035278,3.9295,-1.1425641761972924,4.1245,-0.6273594400219421,9.811,-0.2561834053924099,4.5745000000000005,-0.3078847797693004,5.617,-0.026343975339601977,3.7145,-0.3011050927839216,4.887,-0.36528331847533263,7.3229999999999995,-0.08992470752798701,0.779,-5.809142990314028,5.103,-2.6882475738060303,4.4485,-2.3434070875143007,3.881,-2.1286317858706076,4.4425,-2.071473372030659,5.8685,-1.8838747581358606,2.508,-2.631089159966082,3.4699999999999998,-1.9449106487222299,4.3835,-2.047942874620465
7.784000000000001,1.3867942361615415,12.1135,1.4609379041156563,10.0775,1.3797731441296253,10.5095,1.2481810589902564,9.045,1.2801001647134869,10.874,1.4235901458635876,10.65,1.1546775126010584,13.4855,1.3137236682850553,9.3065,1.4341316905340507,9.1905,1.3982229319851645,13.5215,1.2435780589182954,13.456,1.35247901262516,4.438,0.8548407695579324,5.8374999999999995,0.1570037488096647,3.7924999999999995,0.0852598439508234,5.5840000000000005,0.7030975114131134,6.030500000000001,0.8779656175524871,7.96,0.6086780239334953,4.5195,0.6481498146292095,6.2865,0.5641767992629853,7.8385,0.7975071958841882,5.794,-0.3989861420104552,5.6035,-1.0613165039244128,4.104,-1.1679623668029029,4.2915,-0.6500876910994983,10.0585,-0.3119747650208255,4.826,-0.353821874956326,5.86,-0.18152187662339034,3.9200000000000004,-0.45728485683796083,5.098999999999999,-0.48288625507674926,7.6005,-0.11765804346823246,1.1789999999999998,-5.115995809754082,5.282,-2.7488721956224653,4.5985,-2.396895772465287,4.0235,-2.1803674602697964,4.6545,-2.137070654516472,6.076,-1.9105430052180221,2.6865,-2.6882475738060303,3.6515,-2.0024805005437076,4.6175,-2.0874737133771
8.237499999999999,1.345993064346365,12.906,1.2960960932017418,10.8835,1.3617454881984778,11.1805,1.2252449396014757,9.702,1.2590290100740142,11.503499999999999,1.3932699748563158,11.571,1.143585654310841,14.434000000000001,1.287578388180733,10.2145,1.3940144841350286,10.004,1.3571229838196106,14.578,1.189366651936574,14.513,1.3166762942390207,4.7175,0.8329091229351039,6.201,0.1301506844650451,4.101500000000001,0.017839918128331016,5.8565000000000005,0.5423242908253617,6.389,0.8437200390393197,8.387500000000001,0.5749265491725142,4.936999999999999,0.6103089022509408,6.652,0.5152159720672835,8.3195,0.770571077524749,5.912999999999999,-0.41400143913045073,5.8134999999999994,-1.07587280169862,4.281,-1.1973282616072674,4.4595,-0.6753072624316143,10.309999999999999,-0.3667252797922339,5.0735,-0.3930425881096072,6.1055,-0.27575350158650713,4.1385,-0.5638748448558062,5.311999999999999,-0.5568695622673976,7.8759999999999994,-0.15548490284039498,1.549,-2.162823150618887,5.460999999999999,-2.796881414808826,4.7475,-2.4534079827286295,4.166,-2.2256240518579173,4.8655,-2.1803674602697964,6.283,-1.9805015938249322,2.867,-2.7488721956224653,3.8314999999999997,-2.047942874620465,4.8525,-2.1541650878757723
8.6825,1.3212223643761758,13.710500000000001,1.3977287387455537,11.676,1.312916891315115,11.8385,1.1792701916855641,10.373,1.210451770423645,12.141,1.37194185489549,12.5255,1.0574430116300388,15.360999999999999,1.2435780589182954,11.1395,1.3691482022849202,10.794,1.3206886040218968,15.596,1.1413524423442685,15.5335,1.2561856757728702,5.083,0.8285518175661483,6.5680000000000005,0.10795714150509236,4.4025,-0.026343975339601977,6.149,0.29862201249011533,6.6635,0.6626879730752367,8.8195,0.555033878430311,5.3595,0.5894519442211802,7.0225,0.4898062565419152,8.7935,0.7338091622788351,6.0315,-0.4185503476568198,6.024,-1.0847093834991182,4.4565,-1.2039728043259361,4.6265,-0.6931471805599453,10.5575,-0.40346710544549125,5.324,-0.4231200433468851,6.349,-0.3243460568233724,4.3505,-0.5960204698292225,5.5225,-0.616186139423817,8.153,-0.17912666589743548,1.908,-2.312635428847547,5.639,-2.864704011147587,4.896999999999999,-2.501036031717884,4.3085,-2.282782465697866,5.077,-2.234926444520231,6.4895,-2.0099154790312257,3.045,-2.8134107167600364,4.012,-2.111964733385396,5.0875,-2.1892564076870427
9.136,1.2814892467537642,14.5015,1.2225982684491008,12.48,1.2982824837966773,12.508999999999999,1.155307632344655,11.0295,1.191191469961203,12.77,1.3386785071782272,13.4455,1.048371072231363,16.309,1.2152094362519237,12.046,1.3270750014599193,11.605999999999998,1.2792657883613672,16.652,1.0818051703517284,16.59,1.2199445738356347,5.284000000000001,0.8368145303723584,6.931,0.08065790301745454,4.709499999999999,-0.057629112836636416,6.437,0.26390154378637753,6.9525,0.498348102254878,9.2465,0.5199835615507563,5.7764999999999995,0.5533102353721461,7.3855,0.4485245975686114,9.275,0.7085282825982477,6.1505,-0.4307829160924542,6.2345,-1.0936247471570706,4.6315,-1.2207799226423173,4.794,-0.7133498878774648,10.8085,-0.444725822061467,5.5715,-0.45728485683796083,6.5915,-0.37106368139083207,4.562,-0.6217571844732723,5.736,-0.657780036722654,8.427999999999999,-0.20948722486672405,2.008,-2.364460496712133,5.817,-2.9374633654300153,5.045999999999999,-2.563949857128453,4.4505,-2.312635428847547,5.2885,-2.282782465697866,6.6955,-2.0874737133771,3.2245000000000004,-2.864704011147587,4.1925,-2.1541650878757723,5.322,-2.2537949288246137
9.58,1.2567549897649053,15.3065,1.3331572627067618,13.271500000000001,1.2504746379773557,13.165,1.1065804583172865,11.7005,1.1391142319774397,13.407,1.3166762942390207,14.4005,0.9524297784900283,17.233,1.1678273576895826,12.9715,1.3004641045146972,12.3965,1.2424239907001886,17.6685,1.0289048762432895,17.608,1.1540469955562103,5.563,0.8368145303723584,7.297499999999999,0.05732506661926935,5.011,-0.09101939838716855,6.7275,0.1996701951285677,7.2435,0.4219944100593749,9.6785,0.5001690435774618,6.1995000000000005,0.532978428407124,7.7555000000000005,0.42395969074432877,9.749,0.6724341389624038,6.269,-0.43695577519953516,6.4455,-1.1056369036050742,4.8069999999999995,-1.2241755116434554,4.961,-0.7298111649315367,11.056000000000001,-0.47160491061270937,5.8215,-0.47965000629754095,6.835500000000001,-0.4109802887962745,4.775,-0.6424540662444271,5.948,-0.6792442753909539,8.705,-0.23193205734728903,2.1085000000000003,-2.396895772465287,5.995,-2.995732273553991,5.195,-2.631089159966082,4.5925,-2.396895772465287,5.499,-2.3434070875143007,6.902,-2.1286317858706076,3.4025,-2.9565115604007097,4.3735,-2.2072749131897207,5.556,-2.2926347621408776
