min.x,δ(min.x),min.y,δ(min.y),min.y.exp,δ(min.y.exp),max.x,δ(max.x),max.y,δ(max.y),max.y.exp,δ(max.y.exp)
1.7095,0.082,0.26,0.02,1.2969300866657718,0.025938601733315438,1.8980000000000001,0.107,0.273,0.02,1.2969300866657718,0.025938601733315438
2.059,0.215,0.269,0.02,1.3086551410464666,0.02617310282092933,2.2675,0.202,0.273,0.02,1.3086551410464666,0.02617310282092933
2.9815,0.062,-0.277,0.02,1.3191663710349588,0.02638332742069918,3.623,0.065,0.269,0.02,1.3191663710349588,0.02638332742069918
4.264,0.073,-0.268,0.02,1.3073471400149361,0.026146942800298723,4.9085,0.02,0.264,0.02,1.3073471400149361,0.026146942800298723
5.5475,0.038,-0.264,0.02,1.3021281963008942,0.026042563926017885,6.1885,0.048,0.255,0.02,1.3021281963008942,0.026042563926017885
6.829,0.063,-0.255,0.02,1.2904616208728898,0.0258092324174578,7.47,0.07100000000000001,0.247,0.02,1.2904616208728898,0.0258092324174578
8.1135,0.024,-0.251,0.02,1.2853100843311953,0.02570620168662391,8.753,0.039,0.242,0.02,1.2853100843311953,0.02570620168662391
9.392999999999999,0.057,-0.242,0.02,1.2737941928161949,0.0254758838563239,10.0335,0.066,0.23399999999999999,0.02,1.2737941928161949,0.0254758838563239
10.674000000000001,0.081,-0.233,0.02,1.2623814793272614,0.02524762958654523,11.316,0.037,0.229,0.02,1.2623814793272614,0.02524762958654523
11.956000000000001,0.061,-0.229,0.02,1.257342039009839,0.025146840780196782,12.5965,0.068,0.221,0.02,1.257342039009839,0.025146840780196782
13.238999999999999,0.031,-0.225,0.02,1.2523227161918644,0.02504645432383729,13.878,0.045,0.216,0.02,1.2523227161918644,0.02504645432383729
14.5175,0.07200000000000001,-0.216,0.02,1.2411023790006717,0.024822047580013433,15.158,0.079,0.207,0.02,1.2411023790006717,0.024822047580013433
15.7985,0.052000000000000005,-0.211,0.02,1.2349123550613943,0.024698247101227887,16.4385,0.066,0.20299999999999999,0.02,1.2349123550613943,0.024698247101227887
17.082,0.025,-0.207,0.02,1.2299825717807527,0.024599651435615055,17.7195,0.052000000000000005,0.199,0.02,1.2299825717807527,0.024599651435615055
18.3585,0.08,-0.198,0.02,1.2189623938216427,0.024379247876432857,19.0,0.037,0.194,0.02,1.2189623938216427,0.024379247876432857
19.6385,0.07,-0.194,0.02,1.2140962829562332,0.024281925659124664,20.2785,0.08600000000000001,0.186,0.02,1.2140962829562332,0.024281925659124664
20.919,0.063,-0.19,0.02,1.2092495976572515,0.02418499195314503,21.5585,0.082,0.181,0.02,1.2092495976572515,0.02418499195314503
22.198999999999998,0.055,-0.185,0.02,1.2032184401276953,0.024064368802553908,22.838,0.079,0.177,0.02,1.2032184401276953,0.024064368802553908
23.4785,0.052000000000000005,-0.181,0.02,1.1984151792931996,0.023968303585863993,24.1175,0.074,0.173,0.02,1.1984151792931996,0.023968303585863993
24.7585,0.04,-0.177,0.02,1.1936310931271388,0.023872621862542777,25.396,0.075,0.168,0.02,1.1936310931271388,0.023872621862542777
26.0375,0.04,-0.17200000000000001,0.02,1.187677833213906,0.02375355666427812,26.6755,0.078,0.164,0.02,1.187677833213906,0.02375355666427812
27.316499999999998,0.044,-0.168,0.02,1.1829366106478107,0.023658732212956217,27.954499999999996,0.082,0.159,0.02,1.1829366106478107,0.023658732212956217
28.595,0.049,-0.163,0.02,1.177036689688467,0.02354073379376934,29.2335,0.084,0.155,0.02,1.177036689688467,0.02354073379376934
29.8735,0.052000000000000005,-0.159,0.02,1.1723379466807176,0.02344675893361435,30.512000000000004,0.089,0.151,0.02,1.1723379466807176,0.02344675893361435
