min.x,δ(min.x),min.y,δ(min.y),max.x,δ(max.x),max.y,δ(max.y)
14.056,0.079,0.111,0.02,15.169500000000001,0.034,0.19,0.02
15.6875,0.08600000000000001,-0.20700000000000002,0.02,16.232000000000003,0.067,0.185,0.02
16.7515,0.038,-0.21200000000000002,0.02,17.277,0.067,0.185,0.02
17.8035,0.066,-0.20700000000000002,0.02,18.329,0.047,0.185,0.02
18.855999999999998,0.047,-0.20700000000000002,0.02,19.381500000000003,0.07200000000000001,0.181,0.02
19.907,0.073,-0.203,0.02,20.433500000000002,0.056,0.181,0.02
20.9595,0.056,-0.203,0.02,21.487,0.031,0.181,0.02
22.011999999999997,0.031,-0.203,0.02,22.5375,0.064,0.177,0.02
23.063,0.065,-0.199,0.02,23.589499999999997,0.046,0.177,0.02
24.1155,0.046,-0.199,0.02,24.641,0.07100000000000001,0.172,0.02
25.1665,0.07200000000000001,-0.194,0.02,25.693,0.055,0.16799999999999998,0.02
26.219,0.055,-0.199,0.02,26.746,0.031,0.16799999999999998,0.02
27.2715,0.032,-0.199,0.02,27.796000000000003,0.067,0.16399999999999998,0.02
28.3225,0.068,-0.194,0.02,28.848499999999998,0.05,0.16399999999999998,0.02
29.374499999999998,0.052000000000000005,-0.194,0.02,29.902499999999996,0.02,0.16399999999999998,0.02
30.4285,0.024,-0.194,0.02,30.9515,0.064,0.159,0.02
31.4775,0.066,-0.19,0.02,32.004000000000005,0.047,0.159,0.02
32.5295,0.05,-0.19,0.02,33.055,0.079,0.155,0.02
33.5835,0.022,-0.186,0.02,34.1065,0.064,0.159,0.02
34.6325,0.066,-0.18100000000000002,0.02,35.1585,0.048,0.159,0.02
35.6845,0.05,-0.18100000000000002,0.02,36.2125,0.022,0.155,0.02
36.738499999999995,0.024,-0.186,0.02,37.2615,0.066,0.15,0.02
37.787000000000006,0.065,-0.18100000000000002,0.02,38.3135,0.048,0.15,0.02
38.839,0.049,-0.18100000000000002,0.02,39.3645,0.08,0.146,0.02
39.892,0.031,-0.17700000000000002,0.02,40.416,0.067,0.15,0.02
40.941500000000005,0.07,-0.168,0.02,41.4675,0.05,0.155,0.02
41.9935,0.054,-0.168,0.02,42.521,0.023,0.155,0.02
43.0465,0.032,-0.168,0.02,43.57,0.07100000000000001,0.15,0.02
44.0955,0.074,-0.164,0.02,44.622,0.055,0.15,0.02
45.147,0.061,-0.164,0.02,45.6745,0.034,0.15,0.02
46.198499999999996,0.046,-0.164,0.02,46.7285,0.016,0.15,0.02
47.250499999999995,0.028,-0.164,0.02,47.7745,0.07200000000000001,0.146,0.02
48.3005,0.076,-0.159,0.02,48.826499999999996,0.058,0.142,0.02
49.3525,0.066,-0.164,0.02,49.876999999999995,0.051000000000000004,0.142,0.02
50.4035,0.056,-0.164,0.02,50.931,0.029,0.142,0.02
51.4555,0.036000000000000004,-0.159,0.02,51.98,0.073,0.142,0.02
52.505,0.077,-0.14600000000000002,0.02,53.0315,0.062,0.15,0.02
53.5565,0.066,-0.14600000000000002,0.02,54.083,0.047,0.15,0.02
54.608,0.051000000000000004,-0.14600000000000002,0.02,55.137,0.021,0.15,0.02
55.661,0.029,-0.14200000000000002,0.02,56.1845,0.074,0.15,0.02
56.71,0.077,-0.138,0.02,57.2355,0.062,0.146,0.02
57.7615,0.066,-0.14200000000000002,0.02,58.2875,0.046,0.146,0.02
58.813,0.053,-0.14200000000000002,0.02,59.337,0.085,0.142,0.02
59.865,0.029,-0.14200000000000002,0.02,60.3885,0.074,0.142,0.02
60.9135,0.078,-0.138,0.02,61.439499999999995,0.062,0.142,0.02
61.964999999999996,0.067,-0.138,0.02,62.491499999999995,0.046,0.142,0.02
63.016,0.053,-0.138,0.02,63.541000000000004,0.089,0.13699999999999998,0.02
64.0685,0.032,-0.138,0.02,64.592,0.077,0.13699999999999998,0.02
65.1175,0.082,-0.129,0.02,65.6435,0.066,0.142,0.02
66.1685,0.07,-0.129,0.02,66.6945,0.05,0.142,0.02
67.2205,0.056,-0.129,0.02,67.7475,0.028,0.142,0.02
68.272,0.039,-0.129,0.02,68.7955,0.078,0.13699999999999998,0.02
69.321,0.083,-0.124,0.02,69.847,0.067,0.13699999999999998,0.02
70.372,0.07100000000000001,-0.124,0.02,70.8985,0.052000000000000005,0.13699999999999998,0.02
71.4235,0.058,-0.124,0.02,71.95049999999999,0.03,0.13699999999999998,0.02
72.475,0.041,-0.12,0.02,72.99900000000001,0.083,0.13699999999999998,0.02
73.5245,0.088,-0.11599999999999999,0.02,74.05,0.073,0.13299999999999998,0.02
74.575,0.079,-0.12,0.02,75.101,0.061,0.13299999999999998,0.02
75.6265,0.068,-0.12,0.02,76.1525,0.044,0.13299999999999998,0.02
76.678,0.055,-0.11599999999999999,0.02,77.202,0.091,0.13299999999999998,0.02
77.7295,0.036000000000000004,-0.11599999999999999,0.02,78.253,0.081,0.13299999999999998,0.02
78.7785,0.088,-0.111,0.02,79.304,0.07100000000000001,0.13299999999999998,0.02
79.8295,0.078,-0.111,0.02,80.35549999999999,0.058,0.13299999999999998,0.02
80.8805,0.066,-0.111,0.02,81.4075,0.04,0.13299999999999998,0.02
81.931,0.051000000000000004,-0.111,0.02,82.456,0.091,0.129,0.02
82.9855,0.024,-0.111,0.02,83.5075,0.082,0.129,0.02
84.0325,0.08600000000000001,-0.107,0.02,84.55850000000001,0.07200000000000001,0.129,0.02
85.0835,0.076,-0.107,0.02,85.6095,0.06,0.129,0.02
86.1345,0.064,-0.107,0.02,86.661,0.045,0.129,0.02
87.18599999999999,0.051000000000000004,-0.107,0.02,87.71,0.093,0.12400000000000001,0.02
88.2385,0.03,-0.107,0.02,88.76100000000001,0.083,0.12400000000000001,0.02
89.2855,0.08600000000000001,-0.103,0.02,89.8115,0.07200000000000001,0.12400000000000001,0.02
90.3365,0.076,-0.103,0.02,90.8625,0.06,0.12400000000000001,0.02
91.3875,0.064,-0.103,0.02,91.914,0.043000000000000003,0.12400000000000001,0.02
92.4385,0.05,-0.103,0.02,92.96249999999999,0.096,0.12000000000000001,0.02
93.4915,0.028,-0.103,0.02,94.01350000000001,0.08600000000000001,0.12000000000000001,0.02
94.53900000000002,0.091,-0.09799999999999999,0.02,95.064,0.077,0.12000000000000001,0.02
95.5895,0.082,-0.09799999999999999,0.02,96.11500000000001,0.065,0.12000000000000001,0.02
96.64,0.07100000000000001,-0.09799999999999999,0.02,97.16600000000001,0.051000000000000004,0.12000000000000001,0.02
97.691,0.059000000000000004,-0.094,0.02,98.21799999999999,0.031,0.12400000000000001,0.02
98.7425,0.042,-0.094,0.02,99.26599999999999,0.093,0.12000000000000001,0.02
99.79100000000001,0.097,-0.09,0.02,100.31649999999999,0.084,0.12000000000000001,0.02
100.8415,0.088,-0.09,0.02,101.367,0.073,0.12000000000000001,0.02
101.892,0.079,-0.09,0.02,102.41799999999999,0.061,0.12000000000000001,0.02
102.9425,0.068,-0.09,0.02,103.4695,0.046,0.12000000000000001,0.02
103.99350000000001,0.054,-0.09,0.02,104.5175,0.10200000000000001,0.116,0.02
105.045,0.035,-0.09,0.02,105.56800000000001,0.093,0.116,0.02
106.093,0.097,-0.08499999999999999,0.02,106.6185,0.084,0.116,0.02
107.1435,0.088,-0.08499999999999999,0.02,107.669,0.075,0.116,0.02
108.19399999999999,0.079,-0.08499999999999999,0.02,108.71950000000001,0.062,0.116,0.02
109.245,0.067,-0.08499999999999999,0.02,109.771,0.047,0.111,0.02
110.2955,0.054,-0.09,0.02,110.82549999999999,0.02,0.111,0.02
111.3475,0.036000000000000004,-0.09,0.02,111.87,0.093,0.107,0.02
112.39500000000001,0.097,-0.08499999999999999,0.02,112.9205,0.084,0.107,0.02
113.4455,0.088,-0.08499999999999999,0.02,113.971,0.073,0.107,0.02
114.496,0.079,-0.08499999999999999,0.02,115.02149999999999,0.062,0.107,0.02
115.54650000000001,0.068,-0.08499999999999999,0.02,116.07249999999999,0.048,0.107,0.02
116.597,0.055,-0.08499999999999999,0.02,117.12750000000001,0.02,0.107,0.02
117.6485,0.038,-0.08499999999999999,0.02,118.171,0.099,0.10200000000000001,0.02
118.696,0.10300000000000001,-0.081,0.02,119.22149999999999,0.09,0.10200000000000001,0.02
119.74650000000001,0.096,-0.081,0.02,120.27199999999999,0.081,0.10200000000000001,0.02
120.797,0.08700000000000001,-0.081,0.02,121.32199999999999,0.07100000000000001,0.10200000000000001,0.02
121.8475,0.078,-0.081,0.02,122.37299999999999,0.059000000000000004,0.10200000000000001,0.02
122.89799999999998,0.067,-0.081,0.02,123.42399999999999,0.043000000000000003,0.10200000000000001,0.02
123.9485,0.054,-0.081,0.02,124.47200000000001,0.107,0.098,0.02
125.0005,0.036000000000000004,-0.081,0.02,125.522,0.099,0.098,0.02
126.047,0.105,-0.076,0.02,126.5725,0.092,0.098,0.02
127.097,0.097,-0.076,0.02,127.623,0.083,0.098,0.02
128.1475,0.09,-0.076,0.02,128.673,0.073,0.098,0.02
129.198,0.081,-0.076,0.02,129.724,0.063,0.098,0.02
130.248,0.07100000000000001,-0.076,0.02,130.775,0.049,0.098,0.02
131.299,0.059000000000000004,-0.076,0.02,131.828,0.027,0.098,0.02
132.35,0.045,-0.076,0.02,132.8725,0.106,0.094,0.02
133.398,0.111,-0.072,0.02,133.923,0.099,0.094,0.02
134.4485,0.10400000000000001,-0.072,0.02,134.97299999999998,0.091,0.094,0.02
135.4985,0.096,-0.072,0.02,136.02349999999998,0.082,0.094,0.02
136.5485,0.088,-0.072,0.02,137.074,0.073,0.094,0.02
137.599,0.079,-0.072,0.02,138.124,0.061,0.094,0.02
138.64899999999997,0.069,-0.072,0.02,139.175,0.047,0.094,0.02
139.7,0.057,-0.072,0.02,140.2295,0.022,0.094,0.02
140.75150000000002,0.04,-0.072,0.02,141.27349999999998,0.10400000000000001,0.08900000000000001,0.02
141.7985,0.108,-0.068,0.02,142.3235,0.096,0.08900000000000001,0.02
142.8485,0.10200000000000001,-0.063,0.02,143.374,0.089,0.094,0.02
143.8985,0.094,-0.063,0.02,144.42399999999998,0.079,0.094,0.02
144.949,0.085,-0.063,0.02,145.4745,0.068,0.094,0.02
145.999,0.075,-0.063,0.02,146.5255,0.056,0.094,0.02
147.0495,0.064,-0.063,0.02,147.577,0.039,0.094,0.02
148.10049999999998,0.05,-0.063,0.02,148.6235,0.114,0.08900000000000001,0.02
149.15349999999998,0.03,-0.063,0.02,149.674,0.107,0.08900000000000001,0.02
150.199,0.113,-0.059,0.02,150.7235,0.1,0.08900000000000001,0.02
151.249,0.107,-0.059,0.02,151.774,0.093,0.08900000000000001,0.02
152.2995,0.1,-0.059,0.02,152.8245,0.084,0.08900000000000001,0.02
153.3495,0.092,-0.059,0.02,153.87449999999998,0.074,0.08900000000000001,0.02
154.3995,0.084,-0.059,0.02,154.92499999999998,0.063,0.08900000000000001,0.02
155.45000000000002,0.073,-0.059,0.02,155.97549999999998,0.05,0.08900000000000001,0.02
156.50050000000002,0.062,-0.059,0.02,157.02849999999998,0.028,0.081,0.02
157.5515,0.048,-0.068,0.02,158.07399999999998,0.115,0.076,0.02
158.599,0.121,-0.063,0.02,159.124,0.109,0.076,0.02
159.64899999999997,0.115,-0.063,0.02,160.174,0.101,0.076,0.02
160.6985,0.108,-0.063,0.02,161.22449999999998,0.094,0.076,0.02
161.749,0.101,-0.063,0.02,162.275,0.085,0.07200000000000001,0.02
162.799,0.093,-0.068,0.02,163.3245,0.076,0.07200000000000001,0.02
163.84900000000002,0.085,-0.068,0.02,164.3755,0.066,0.07200000000000001,0.02
164.8995,0.076,-0.068,0.02,165.426,0.053,0.07200000000000001,0.02
165.95,0.065,-0.068,0.02,166.4785,0.034,0.07200000000000001,0.02
167.0005,0.052000000000000005,-0.068,0.02,167.523,0.121,0.068,0.02
168.053,0.031,-0.068,0.02,168.573,0.115,0.068,0.02
169.0985,0.12,-0.063,0.02,169.6235,0.108,0.068,0.02
170.1485,0.114,-0.063,0.02,170.67299999999997,0.101,0.068,0.02
171.198,0.107,-0.063,0.02,171.7235,0.094,0.068,0.02
172.24849999999998,0.1,-0.063,0.02,172.7735,0.084,0.068,0.02
173.2985,0.092,-0.063,0.02,173.82399999999998,0.075,0.068,0.02
174.34900000000002,0.083,-0.063,0.02,174.8745,0.064,0.068,0.02
175.399,0.073,-0.063,0.02,175.9255,0.05,0.068,0.02
176.45000000000002,0.061,-0.063,0.02,176.9785,0.028,0.068,0.02
177.501,0.047,-0.063,0.02,178.0225,0.12,0.063,0.02
178.548,0.125,-0.059,0.02,179.073,0.113,0.063,0.02
179.598,0.11900000000000001,-0.059,0.02,180.123,0.107,0.063,0.02
180.648,0.113,-0.059,0.02,181.1735,0.1,0.063,0.02
181.698,0.105,-0.059,0.02,182.22350000000003,0.092,0.063,0.02
182.74849999999998,0.098,-0.059,0.02,183.274,0.083,0.063,0.02
183.79850000000002,0.09,-0.059,0.02,184.324,0.073,0.063,0.02
184.848,0.081,-0.059,0.02,185.375,0.061,0.063,0.02
185.899,0.07100000000000001,-0.059,0.02,186.42600000000002,0.047,0.063,0.02
186.9495,0.058,-0.059,0.02,187.472,0.133,0.05900000000000001,0.02
188.001,0.043000000000000003,-0.059,0.02,188.52200000000002,0.127,0.05900000000000001,0.02
189.0475,0.132,-0.05499999999999999,0.02,189.57250000000002,0.12,0.05900000000000001,0.02
190.0975,0.126,-0.05499999999999999,0.02,190.6225,0.114,0.05900000000000001,0.02
191.1475,0.12,-0.05499999999999999,0.02,191.67249999999999,0.106,0.05900000000000001,0.02
192.1975,0.114,-0.05499999999999999,0.02,192.723,0.099,0.05900000000000001,0.02
193.2475,0.106,-0.05499999999999999,0.02,193.773,0.091,0.05900000000000001,0.02
194.298,0.099,-0.05499999999999999,0.02,194.823,0.081,0.05900000000000001,0.02
195.35,0.08700000000000001,-0.05499999999999999,0.02,195.875,0.065,0.05900000000000001,0.02
196.4005,0.08,-0.05499999999999999,0.02,196.9255,0.058,0.05900000000000001,0.02
197.4505,0.068,-0.05499999999999999,0.02,197.974,0.137,0.054000000000000006,0.02
198.50300000000001,0.045,-0.05499999999999999,0.02,199.0235,0.13,0.054000000000000006,0.02
199.548,0.137,-0.05,0.02,200.07350000000002,0.124,0.054000000000000006,0.02
200.5985,0.132,-0.046,0.02,201.1235,0.11800000000000001,0.05900000000000001,0.02
201.64849999999998,0.126,-0.046,0.02,202.17399999999998,0.111,0.05900000000000001,0.02
202.6985,0.11800000000000001,-0.046,0.02,203.224,0.10300000000000001,0.05900000000000001,0.02
203.74849999999998,0.112,-0.041999999999999996,0.02,204.2745,0.096,0.063,0.02
204.7985,0.106,-0.041999999999999996,0.02,205.3245,0.088,0.063,0.02
205.84849999999997,0.098,-0.041999999999999996,0.02,206.37449999999998,0.078,0.063,0.02
206.89899999999997,0.089,-0.041999999999999996,0.02,207.425,0.067,0.063,0.02
207.9495,0.08,-0.041999999999999996,0.02,208.47650000000002,0.052000000000000005,0.063,0.02
208.9995,0.068,-0.041999999999999996,0.02,209.5305,0.03,0.063,0.02
210.05050000000003,0.054,-0.041999999999999996,0.02,210.57199999999997,0.14100000000000001,0.05900000000000001,0.02
211.1035,0.034,-0.041999999999999996,0.02,211.6225,0.136,0.05900000000000001,0.02
212.147,0.14100000000000001,-0.037,0.02,212.67249999999999,0.13,0.05900000000000001,0.02
213.1975,0.136,-0.037,0.02,213.722,0.123,0.05900000000000001,0.02
214.2475,0.13,-0.037,0.02,214.772,0.117,0.05900000000000001,0.02
215.29749999999999,0.124,-0.037,0.02,215.8225,0.11,0.05900000000000001,0.02
216.34750000000003,0.116,-0.037,0.02,216.8725,0.10200000000000001,0.05900000000000001,0.02
217.39800000000002,0.109,-0.037,0.02,217.923,0.093,0.05900000000000001,0.02
218.448,0.101,-0.037,0.02,218.973,0.083,0.05900000000000001,0.02
219.4975,0.092,-0.037,0.02,220.02349999999998,0.07200000000000001,0.05900000000000001,0.02
220.5485,0.082,-0.037,0.02,221.0745,0.058,0.05900000000000001,0.02
221.5985,0.07,-0.037,0.02,222.127,0.037,0.05900000000000001,0.02
222.6495,0.056,-0.037,0.02,223.17100000000002,0.14300000000000002,0.054000000000000006,0.02
223.704,0.033,-0.037,0.02,224.22099999999998,0.137,0.054000000000000006,0.02
224.746,0.14300000000000002,-0.033,0.02,225.27100000000002,0.131,0.054000000000000006,0.02
225.796,0.137,-0.033,0.02,226.32150000000001,0.124,0.054000000000000006,0.02
226.846,0.131,-0.033,0.02,227.37099999999998,0.117,0.054000000000000006,0.02
227.8955,0.124,-0.033,0.02,228.421,0.109,0.054000000000000006,0.02
228.9455,0.116,-0.033,0.02,229.47150000000002,0.1,0.054000000000000006,0.02
229.99599999999998,0.109,-0.033,0.02,230.5215,0.092,0.054000000000000006,0.02
231.046,0.101,-0.033,0.02,231.57199999999997,0.081,0.054000000000000006,0.02
232.096,0.091,-0.033,0.02,232.6225,0.068,0.054000000000000006,0.02
233.14600000000002,0.081,-0.033,0.02,233.674,0.053,0.054000000000000006,0.02
234.197,0.069,-0.033,0.02,234.71900000000002,0.159,0.05,0.02
235.2485,0.054,-0.033,0.02,235.769,0.153,0.05,0.02
236.294,0.161,-0.028,0.02,236.819,0.147,0.05,0.02
237.34449999999998,0.156,-0.024,0.02,237.86900000000003,0.14100000000000001,0.054000000000000006,0.02
