Time (s) 1#1,Angle (rad) 1#1,Time (s) 1A#1,Angle (rad) 1A#1,Time (s) 1A#2,Angle (rad) 1A#2,Time (s) 1B#1,Angle (rad) 1B#1,Time (s) 1B#2,Angle (rad) 1B#2,Time (s) 1C#1,Angle (rad) 1C#1,Time (s) 1AB#1,Angle (rad) 1AB#1,Time (s) 1AB#2,Angle (rad) 1AB#2,Time (s) 1AC#1,Angle (rad) 1AC#1,Time (s) 1BC#1,Angle (rad) 1BC#1,Time (s) 1ABC#1,Angle (rad) 1ABC#1,Time (s) 1ABC#2,Angle (rad) 1ABC#2,Time (s) 2#1,Angle (rad) 2#1,Time (s) 2A#1,Angle (rad) 2A#1,Time (s) 2B#1,Angle (rad) 2B#1,Time (s) 2C#1,Angle (rad) 2C#1,Time (s) 2C#2,Angle (rad) 2C#2,Time (s) 2AB#1,Angle (rad) 2AB#1,Time (s) 2AC#1,Angle (rad) 2AC#1,Time (s) 2BC#1,Angle (rad) 2BC#1,Time (s) 2ABC#1,Angle (rad) 2ABC#1,Time (s) 3#1,Angle (rad) 3#1,Time (s) 3A#1,Angle (rad) 3A#1,Time (s) 3B#1,Angle (rad) 3B#1,Time (s) 3C#1,Angle (rad) 3C#1,Time (s) 3AB#1,Angle (rad) 3AB#1,Time (s) 3AB#2,Angle (rad) 3AB#2,Time (s) 3AC#1,Angle (rad) 3AC#1,Time (s) 3BC#1,Angle (rad) 3BC#1,Time (s) 3BC#2,Angle (rad) 3BC#2,Time (s) 3ABC#1,Angle (rad) 3ABC#1,Time (s) 4#1,Angle (rad) 4#1,Time (s) 4A#1,Angle (rad) 4A#1,Time (s) 4B#1,Angle (rad) 4B#1,Time (s) 4C#1,Angle (rad) 4C#1,Time (s) 4AB#1,Angle (rad) 4AB#1,Time (s) 4AC#1,Angle (rad) 4AC#1,Time (s) 4BC#1,Angle (rad) 4BC#1,Time (s) 4BC#2,Angle (rad) 4BC#2,Time (s) 4ABC#1,Angle (rad) 4ABC#1
4.406499999999999,3.61,5.9465,0.005,3.1990000000000003,0.019,6.1194999999999995,4.486,4.556,4.563,3.952,0.006,3.3405,0.002,6.817,4.727,3.7449999999999997,0.009,4.5035,0.003,7.6625,4.7,7.0264999999999995,0.002,2.9515000000000002,2.138,2.528,0.002,2.393,1.811,4.082,1.982,3.3395,0.002,5.7965,2.108,1.8685,0.002,3.4709999999999996,0.008,5.1225000000000005,2.317,3.0909999999999997,0.738,4.317,0.961,3.2505,0.867,2.3295,0.008,8.75,1.012,2.914,0.892,3.0389999999999997,0.002,2.287,0.851,3.227,0.017,6.045,1.079,0.0395,0.005,4.2490000000000006,0.102,3.7375000000000003,0.124,2.7840000000000003,0.003,3.1015,0.003,4.619,0.151,1.7034999999999998,0.099,2.617,0.19,3.5155,0.157
5.505,4.698,8.38,5.143,6.2235000000000005,4.728,7.839499999999999,4.097,5.5305,4.459,6.0515,4.755,6.4415,4.221,9.7285,4.309,5.362500000000001,4.968,6.1815,4.81,9.3585,4.271,8.815,4.802,3.2285,2.378,3.8470000000000004,1.916,2.768,1.854,4.4965,1.968,3.4765,0.003,6.242000000000001,2.121,3.072,1.99,4.6795,2.058,6.26,2.482,3.967,0.79,4.761500000000001,0.994,3.41,0.638,3.3419999999999996,0.894,9.169,1.019,3.832,0.955,4.406499999999999,1.166,2.6505,0.848,4.2355,1.224,6.444999999999999,1.073,0.225,0.003,4.5665,0.08,4.000500000000001,0.112,3.4515000000000002,0.138,3.6435,0.146,5.238,0.184,1.9685000000000001,0.085,2.9265,0.163,3.678,0.156
5.881,4.687,9.702,4.271,7.487,4.62,8.520999999999999,3.936,7.0335,4.134,8.9675,4.505,7.812,3.841,10.681999999999999,4.166,6.5440000000000005,4.623,6.3315,4.782,10.422,4.013,9.394,4.761,3.621,2.086,4.75,1.706,2.9074999999999998,1.904,4.6425,1.982,5.103,2.424,6.6685,1.99,3.4915000000000003,2.091,5.136,2.004,6.404,2.493,5.289499999999999,0.675,4.9545,0.617,3.5765000000000002,0.412,3.7059999999999995,0.913,9.32,1.034,4.0715,0.861,4.7505,1.111,2.989,0.936,4.3385,1.224,6.7665,1.004,0.41000000000000003,0.003,4.7465,0.077,4.1495,0.107,3.5965000000000003,0.132,3.9705,0.143,5.455,0.168,2.1475,0.08,3.108,0.159,3.915,0.143
6.8845,4.298,10.513,4.595,8.4745,4.284,9.1795,3.745,7.715999999999999,3.886,9.606499999999999,4.389,8.7735,3.511,11.609,3.985,7.473,4.481,7.582999999999999,4.427,11.4425,3.828,11.370000000000001,4.302,3.895,2.295,5.132,1.921,3.182,1.511,4.946000000000001,1.97,5.4295,2.447,7.1005,1.945,3.6685,2.072,5.526,1.987,6.882,2.375,5.544,0.691,5.181,0.352,3.7525,0.346,3.9579999999999997,0.716,9.5565,0.9,4.3275,0.774,5.378,1.111,3.2689999999999997,0.953,4.671,0.914,7.046499999999999,0.96,0.5945,0.003,4.925000000000001,0.072,4.2985,0.101,3.739,0.124,4.231,0.13,5.662,0.163,2.3275,0.075,3.2889999999999997,0.148,4.1485,0.138
7.339,4.104,11.306000000000001,3.932,9.285,4.172,9.8515,3.655,8.373,3.778,10.235999999999999,4.241,9.694,3.443,12.558,3.881,8.381,4.302,8.4005,4.21,12.501,3.632,12.435,4.106,4.181,2.267,5.4565,1.285,3.4945,1.205,5.2745,1.967,5.7090000000000005,2.439,7.528,1.876,4.095,1.97,5.9155,1.825,7.364000000000001,2.308,5.6754999999999995,0.674,5.3915,0.347,3.9295,0.319,4.1245,0.534,9.811,0.774,4.5745000000000005,0.735,5.617,0.974,3.7145,0.74,4.887,0.694,7.3229999999999995,0.914,0.779,0.003,5.103,0.068,4.4485,0.096,3.881,0.119,4.4425,0.126,5.8685,0.152,2.508,0.072,3.4699999999999998,0.143,4.3835,0.129
7.784000000000001,4.002,12.1135,4.31,10.0775,3.974,10.5095,3.484,9.045,3.597,10.874,4.152,10.65,3.173,13.4855,3.72,9.3065,4.196,9.1905,4.048,13.5215,3.468,13.456,3.867,4.438,2.351,5.8374999999999995,1.17,3.7924999999999995,1.089,5.5840000000000005,2.02,6.030500000000001,2.406,7.96,1.838,4.5195,1.912,6.2865,1.758,7.8385,2.22,5.794,0.671,5.6035,0.346,4.104,0.311,4.2915,0.522,10.0585,0.732,4.826,0.702,5.86,0.834,3.9200000000000004,0.633,5.098999999999999,0.617,7.6005,0.889,1.1789999999999998,0.006,5.282,0.064,4.5985,0.091,4.0235,0.113,4.6545,0.118,6.076,0.148,2.6865,0.068,3.6515,0.135,4.6175,0.124
8.237499999999999,3.842,12.906,3.655,10.8835,3.903,11.1805,3.405,9.702,3.522,11.503499999999999,4.028,11.571,3.138,14.434000000000001,3.624,10.2145,4.031,10.004,3.885,14.578,3.285,14.513,3.731,4.7175,2.3,6.201,1.139,4.101500000000001,1.018,5.8565000000000005,1.72,6.389,2.325,8.387500000000001,1.777,4.936999999999999,1.841,6.652,1.674,8.3195,2.161,5.912999999999999,0.661,5.8134999999999994,0.341,4.281,0.302,4.4595,0.509,10.309999999999999,0.693,5.0735,0.675,6.1055,0.759,4.1385,0.569,5.311999999999999,0.573,7.8759999999999994,0.856,1.549,0.115,5.460999999999999,0.061,4.7475,0.086,4.166,0.108,4.8655,0.113,6.283,0.138,2.867,0.064,3.8314999999999997,0.129,4.8525,0.116
8.6825,3.748,13.710500000000001,4.046,11.676,3.717,11.8385,3.252,10.373,3.355,12.141,3.943,12.5255,2.879,15.360999999999999,3.468,11.1395,3.932,10.794,3.746,15.596,3.131,15.5335,3.512,5.083,2.29,6.5680000000000005,1.114,4.4025,0.974,6.149,1.348,6.6635,1.94,8.8195,1.742,5.3595,1.803,7.0225,1.632,8.7935,2.083,6.0315,0.658,6.024,0.338,4.4565,0.3,4.6265,0.5,10.5575,0.668,5.324,0.655,6.349,0.723,4.3505,0.551,5.5225,0.54,8.153,0.836,1.908,0.099,5.639,0.057,4.896999999999999,0.082,4.3085,0.102,5.077,0.107,6.4895,0.134,3.045,0.06,4.012,0.121,5.0875,0.112
9.136,3.602,14.5015,3.396,12.48,3.663,12.508999999999999,3.175,11.0295,3.291,12.77,3.814,13.4455,2.853,16.309,3.371,12.046,3.77,11.605999999999998,3.594,16.652,2.95,16.59,3.387,5.284000000000001,2.309,6.931,1.084,4.709499999999999,0.944,6.437,1.302,6.9525,1.646,9.2465,1.682,5.7764999999999995,1.739,7.3855,1.566,9.275,2.031,6.1505,0.65,6.2345,0.335,4.6315,0.295,4.794,0.49,10.8085,0.641,5.5715,0.633,6.5915,0.69,4.562,0.537,5.736,0.518,8.427999999999999,0.811,2.008,0.094,5.817,0.053,5.045999999999999,0.077,4.4505,0.099,5.2885,0.102,6.6955,0.124,3.2245000000000004,0.057,4.1925,0.116,5.322,0.105
9.58,3.514,15.3065,3.793,13.271500000000001,3.492,13.165,3.024,11.7005,3.124,13.407,3.731,14.4005,2.592,17.233,3.215,12.9715,3.671,12.3965,3.464,17.6685,2.798,17.608,3.171,5.563,2.309,7.297499999999999,1.059,5.011,0.913,6.7275,1.221,7.2435,1.525,9.6785,1.649,6.1995000000000005,1.704,7.7555000000000005,1.528,9.749,1.959,6.269,0.646,6.4455,0.331,4.8069999999999995,0.294,4.961,0.482,11.056000000000001,0.624,5.8215,0.619,6.835500000000001,0.663,4.775,0.526,5.948,0.507,8.705,0.793,2.1085000000000003,0.091,5.995,0.05,5.195,0.072,4.5925,0.091,5.499,0.096,6.902,0.119,3.4025,0.052,4.3735,0.11,5.556,0.101
