Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.1,
Sample Interval,0.0008,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
-8.000e-01,1.84,1.84
-7.992e-01,1.82,1.82
-7.984e-01,1.82,1.82
-7.976e-01,1.82,1.82
-7.968e-01,1.82,1.82
-7.960e-01,1.8,1.8
-7.952e-01,1.8,1.8
-7.944e-01,1.78,1.78
-7.936e-01,1.78,1.78
-7.928e-01,1.76,1.78
-7.920e-01,1.76,1.76
-7.912e-01,1.74,1.74
-7.904e-01,1.76,1.74
-7.896e-01,1.74,1.74
-7.888e-01,1.72,1.74
-7.880e-01,1.72,1.72
-7.872e-01,1.72,1.72
-7.864e-01,1.7,1.7
-7.856e-01,1.7,1.7
-7.848e-01,1.7,1.7
-7.840e-01,1.68,1.68
-7.832e-01,1.68,1.68
-7.824e-01,1.68,1.66
-7.816e-01,1.68,1.66
-7.808e-01,1.66,1.66
-7.800e-01,1.64,1.64
-7.792e-01,1.64,1.64
-7.784e-01,1.64,1.62
-7.776e-01,1.62,1.62
-7.768e-01,1.62,1.6
-7.760e-01,1.6,1.6
-7.752e-01,1.6,1.6
-7.744e-01,1.58,1.58
-7.736e-01,1.58,1.58
-7.728e-01,1.58,1.56
-7.720e-01,1.56,1.56
-7.712e-01,1.54,1.54
-7.704e-01,1.54,1.54
-7.696e-01,1.54,1.54
-7.688e-01,1.52,1.52
-7.680e-01,1.52,1.52
-7.672e-01,1.52,1.5
-7.664e-01,1.5,1.5
-7.656e-01,1.5,1.48
-7.648e-01,1.48,1.48
-7.640e-01,1.48,1.48
-7.632e-01,1.46,1.46
-7.624e-01,1.46,1.46
-7.616e-01,1.46,1.44
-7.608e-01,1.44,1.44
-7.600e-01,1.42,1.42
-7.592e-01,1.42,1.42
-7.584e-01,1.4,1.4
-7.576e-01,1.4,1.4
-7.568e-01,1.38,1.38
-7.560e-01,1.4,1.36
-7.552e-01,1.38,1.36
-7.544e-01,1.38,1.36
-7.536e-01,1.36,1.34
-7.528e-01,1.34,1.34
-7.520e-01,1.32,1.32
-7.512e-01,1.32,1.32
-7.504e-01,1.3,1.3
-7.496e-01,1.3,1.3
-7.488e-01,1.3,1.28
-7.480e-01,1.28,1.28
-7.472e-01,1.26,1.28
-7.464e-01,1.26,1.26
-7.456e-01,1.26,1.24
-7.448e-01,1.24,1.24
-7.440e-01,1.24,1.24
-7.432e-01,1.24,1.22
-7.424e-01,1.22,1.22
-7.416e-01,1.2,1.2
-7.408e-01,1.2,1.22
-7.400e-01,1.18,1.18
-7.392e-01,1.18,1.18
-7.384e-01,1.16,1.18
-7.376e-01,1.16,1.14
-7.368e-01,1.14,1.16
-7.360e-01,1.12,1.12
-7.352e-01,1.12,1.12
-7.344e-01,1.12,1.12
-7.336e-01,1.1,1.1
-7.328e-01,1.08,1.08
-7.320e-01,1.1,1.08
-7.312e-01,1.06,1.08
