Model,TBS1102C,
Firmware Version,v2015-08-04-prequal4ch70_v1.3,

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4e-06,
Sample Interval,3.2e-08,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,0.5
Label,,
TIME,CH1,CH2
-3.200e-05,-2,-2.02
-3.197e-05,-2,-2.02
-3.194e-05,-2,-2.02
-3.190e-05,-2,-2.02
-3.187e-05,-2,-2.02
-3.184e-05,-2,-2.02
-3.181e-05,-2,-2.04
-3.178e-05,-2.04,-2.04
-3.174e-05,-2,-2.04
-3.171e-05,-2.04,-2.04
-3.168e-05,-2,-2.04
-3.165e-05,-2,-2.04
-3.162e-05,-2,-2.04
-3.158e-05,-2.04,-2.04
-3.155e-05,-2.04,-2.04
-3.152e-05,-2.04,-2.04
-3.149e-05,-2.04,-2.06
-3.146e-05,-2.04,-2.06
-3.142e-05,-2.04,-2.06
-3.139e-05,-2.04,-2.06
-3.136e-05,-2.04,-2.06
-3.133e-05,-2.04,-2.06
-3.130e-05,-2.04,-2.06
-3.126e-05,-2.04,-2.06
-3.123e-05,-2.04,-2.06
-3.120e-05,-2.04,-2.06
-3.117e-05,-2.08,-2.08
-3.114e-05,-2.04,-2.06
-3.110e-05,-2.04,-2.06
-3.107e-05,-2.04,-2.08
-3.104e-05,-2.08,-2.08
-3.101e-05,-2.04,-2.08
-3.098e-05,-2.04,-2.08
-3.094e-05,-2.04,-2.08
-3.091e-05,-2.08,-2.08
-3.088e-05,-2.08,-2.1
-3.085e-05,-2.04,-2.08
-3.082e-05,-2.08,-2.1
-3.078e-05,-2.08,-2.08
-3.075e-05,-2.04,-2.08
-3.072e-05,-2.08,-2.08
-3.069e-05,-2.08,-2.1
-3.066e-05,-2.08,-2.1
-3.062e-05,-2.08,-2.1
-3.059e-05,-2.08,-2.1
-3.056e-05,-2.08,-2.1
-3.053e-05,-2.08,-2.1
-3.050e-05,-2.08,-2.1
-3.046e-05,-2.08,-2.1
-3.043e-05,-2.12,-2.1
-3.040e-05,-2.08,-2.1
-3.037e-05,-2.12,-2.12
-3.034e-05,-2.12,-2.1
-3.030e-05,-2.08,-2.12
-3.027e-05,-2.08,-2.12
-3.024e-05,-2.12,-2.12
-3.021e-05,-2.12,-2.12
-3.018e-05,-2.12,-2.12
-3.014e-05,-2.12,-2.12
-3.011e-05,-2.12,-2.12
-3.008e-05,-2.12,-2.12
-3.005e-05,-2.12,-2.12
-3.002e-05,-2.12,-2.12
-2.998e-05,-2.12,-2.12
-2.995e-05,-2.12,-2.12
-2.992e-05,-2.12,-2.12
-2.989e-05,-2.12,-2.12
-2.986e-05,-2.12,-2.12
-2.982e-05,-2.12,-2.12
-2.979e-05,-2.12,-2.12
-2.976e-05,-2.12,-2.14
-2.973e-05,-2.12,-2.14
-2.970e-05,-2.12,-2.12
-2.966e-05,-2.12,-2.14
-2.963e-05,-2.12,-2.14
-2.960e-05,-2.12,-2.14
-2.957e-05,-2.12,-2.14
-2.954e-05,-2.12,-2.14
-2.950e-05,-2.12,-2.14
-2.947e-05,-2.12,-2.14
-2.944e-05,-2.12,-2.14
-2.941e-05,-2.16,-2.14
-2.938e-05,-2.12,-2.14
-2.934e-05,-2.12,-2.14
-2.931e-05,-2.12,-2.14
-2.928e-05,-2.16,-2.14
-2.925e-05,-2.16,-2.14
-2.922e-05,-2.16,-2.14
-2.918e-05,-2.12,-2.14
-2.915e-05,-2.16,-2.14
-2.912e-05,-2.16,-2.16
-2.909e-05,-2.12,-2.14
-2.906e-05,-2.12,-2.14
-2.902e-05,-2.16,-2.14
-2.899e-05,-2.16,-2.14
-2.896e-05,-2.16,-2.14
-2.893e-05,-2.12,-2.16
-2.890e-05,-2.12,-2.14
-2.886e-05,-2.12,-2.16
-2.883e-05,-2.16,-2.16
-2.880e-05,-2.16,-2.14
-2.877e-05,-2.16,-2.14
-2.874e-05,-2.16,-2.14
-2.870e-05,-2.12,-2.16
-2.867e-05,-2.12,-2.16
-2.864e-05,-2.16,-2.16
-2.861e-05,-2.16,-2.16
-2.858e-05,-2.16,-2.16
-2.854e-05,-2.16,-2.16
-2.851e-05,-2.12,-2.16
-2.848e-05,-2.16,-2.16
-2.845e-05,-2.16,-2.16
-2.842e-05,-2.12,-2.16
-2.838e-05,-2.16,-2.16
-2.835e-05,-2.16,-2.16
-2.832e-05,-2.16,-2.16
-2.829e-05,-2.16,-2.16
-2.826e-05,-2.16,-2.16
-2.822e-05,-2.12,-2.16
-2.819e-05,-2.12,-2.16
-2.816e-05,-2.12,-2.16
-2.813e-05,-2.16,-2.16
-2.810e-05,-2.16,-2.16
-2.806e-05,-2.12,-2.16
-2.803e-05,-2.12,-2.16
-2.800e-05,-2.16,-2.14
-2.797e-05,-2.16,-2.16
-2.794e-05,-2.16,-2.16
-2.790e-05,-2.16,-2.14
-2.787e-05,-2.12,-2.16
-2.784e-05,-2.12,-2.14
-2.781e-05,-2.12,-2.14
-2.778e-05,-2.12,-2.16
-2.774e-05,-2.16,-2.14
-2.771e-05,-2.16,-2.16
-2.768e-05,-2.12,-2.14
-2.765e-05,-2.12,-2.14
-2.762e-05,-2.16,-2.14
-2.758e-05,-2.12,-2.14
-2.755e-05,-2.16,-2.16
-2.752e-05,-2.12,-2.14
-2.749e-05,-2.12,-2.14
-2.746e-05,-2.12,-2.14
-2.742e-05,-2.12,-2.14
-2.739e-05,-2.16,-2.14
-2.736e-05,-2.12,-2.14
-2.733e-05,-2.12,-2.14
-2.730e-05,-2.12,-2.14
-2.726e-05,-2.12,-2.14
-2.723e-05,-2.12,-2.14
-2.720e-05,-2.12,-2.14
-2.717e-05,-2.16,-2.14
-2.714e-05,-2.12,-2.14
-2.710e-05,-2.12,-2.14
-2.707e-05,-2.12,-2.14
-2.704e-05,-2.12,-2.14
-2.701e-05,-2.16,-2.14
-2.698e-05,-2.12,-2.14
-2.694e-05,-2.12,-2.12
-2.691e-05,-2.12,-2.12
-2.688e-05,-2.12,-2.14
-2.685e-05,-2.12,-2.12
-2.682e-05,-2.12,-2.12
-2.678e-05,-2.12,-2.12
-2.675e-05,-2.12,-2.12
-2.672e-05,-2.12,-2.12
-2.669e-05,-2.12,-2.12
-2.666e-05,-2.12,-2.12
-2.662e-05,-2.12,-2.12
-2.659e-05,-2.12,-2.12
-2.656e-05,-2.08,-2.12
-2.653e-05,-2.08,-2.12
-2.650e-05,-2.08,-2.12
-2.646e-05,-2.12,-2.12
-2.643e-05,-2.08,-2.12
-2.640e-05,-2.08,-2.1
-2.637e-05,-2.08,-2.1
-2.634e-05,-2.12,-2.1
-2.630e-05,-2.12,-2.1
-2.627e-05,-2.12,-2.1
-2.624e-05,-2.12,-2.1
-2.621e-05,-2.08,-2.1
-2.618e-05,-2.08,-2.1
-2.614e-05,-2.08,-2.1
-2.611e-05,-2.08,-2.08
-2.608e-05,-2.08,-2.1
-2.605e-05,-2.08,-2.08
-2.602e-05,-2.08,-2.1
-2.598e-05,-2.08,-2.08
-2.595e-05,-2.08,-2.08
-2.592e-05,-2.08,-2.08
-2.589e-05,-2.08,-2.08
-2.586e-05,-2.08,-2.08
-2.582e-05,-2.08,-2.08
-2.579e-05,-2.08,-2.08
-2.576e-05,-2.08,-2.08
-2.573e-05,-2.08,-2.08
-2.570e-05,-2.04,-2.08
-2.566e-05,-2.08,-2.08
-2.563e-05,-2.04,-2.08
-2.560e-05,-2.08,-2.06
-2.557e-05,-2.04,-2.06
-2.554e-05,-2.04,-2.06
-2.550e-05,-2.04,-2.06
-2.547e-05,-2.04,-2.06
-2.544e-05,-2.04,-2.06
-2.541e-05,-2.04,-2.04
-2.538e-05,-2.04,-2.06
-2.534e-05,-2.04,-2.04
-2.531e-05,-2.04,-2.04
-2.528e-05,-2.04,-2.04
-2.525e-05,-2.04,-2.04
-2.522e-05,-2.04,-2.04
-2.518e-05,-2.04,-2.04
-2.515e-05,-2.04,-2.04
-2.512e-05,-2.04,-2.04
-2.509e-05,-2.04,-2.04
-2.506e-05,-2.04,-2.04
-2.502e-05,-2.04,-2.02
-2.499e-05,-2.04,-2.02
-2.496e-05,-2.04,-2.02
-2.493e-05,-2,-2.02
-2.490e-05,-2,-2.02
-2.486e-05,-2.04,-2.02
-2.483e-05,-2.04,-2.02
-2.480e-05,-2,-2.02
-2.477e-05,-2.04,-2.02
-2.474e-05,-2,-2.02
-2.470e-05,-2,-2
-2.467e-05,-2,-2
-2.464e-05,-2,-2
-2.461e-05,-2,-2
-2.458e-05,-2,-2
-2.454e-05,-1.96,-2
-2.451e-05,-2,-1.98
-2.448e-05,-2,-1.98
-2.445e-05,-2,-1.98
-2.442e-05,-1.96,-1.98
-2.438e-05,-2,-1.98
-2.435e-05,-2,-1.98
-2.432e-05,-1.96,-1.98
-2.429e-05,-1.96,-1.98
-2.426e-05,-1.96,-1.98
-2.422e-05,-1.96,-1.96
-2.419e-05,-1.96,-1.96
-2.416e-05,-1.96,-1.96
-2.413e-05,-1.96,-1.96
-2.410e-05,-1.96,-1.96
-2.406e-05,-1.96,-1.96
-2.403e-05,-1.96,-1.94
-2.400e-05,-1.92,-1.96
-2.397e-05,-1.96,-1.94
-2.394e-05,-1.96,-1.94
-2.390e-05,-1.92,-1.94
-2.387e-05,-1.92,-1.94
-2.384e-05,-1.92,-1.94
-2.381e-05,-1.92,-1.94
-2.378e-05,-1.92,-1.92
-2.374e-05,-1.92,-1.92
-2.371e-05,-1.92,-1.92
-2.368e-05,-1.92,-1.92
-2.365e-05,-1.92,-1.92
-2.362e-05,-1.92,-1.92
-2.358e-05,-1.92,-1.9
-2.355e-05,-1.92,-1.9
-2.352e-05,-1.92,-1.9
-2.349e-05,-1.92,-1.9
-2.346e-05,-1.92,-1.9
-2.342e-05,-1.92,-1.9
-2.339e-05,-1.92,-1.9
-2.336e-05,-1.92,-1.9
