A,B,C,A+B
8.987989,10.272667,11.419384,13.416812
8.988225,10.273851,11.416907,13.418654
8.989951,10.274213,11.419335,13.419096
8.989224,10.274464,11.418863,13.417916
8.989305,10.273843,11.425668,13.419507
8.986277,10.274965,11.422093,13.418026
8.990786,10.273725,11.423052,13.418623
8.989182,10.275370,11.420116,13.423273
8.989389,10.272633,11.422162,13.423462
8.990042,10.274499,11.420390,13.421026
8.989143,10.274427,11.423303,13.421232
8.986911,10.278365,11.419471,13.418973
8.993408,10.276887,11.421267,13.420023
8.988227,10.273265,11.421079,13.418315
8.989452,10.274735,11.420924,13.420612
8.990209,10.274424,11.421645,13.421027
8.988518,10.276774,11.423221,13.420501
8.986511,10.274876,11.423075,13.417054
8.988505,10.273988,11.423016,13.422434
8.987479,10.275616,11.420071,13.417538
8.987642,10.277288,11.422539,13.419461
8.989055,10.274816,11.420351,13.420277
8.991473,10.272956,11.422409,13.421762
8.988318,10.274663,11.423354,13.418542
8.991294,10.275234,11.420593,13.419249
---,---,11.419055,13.419017
---,---,11.420612,13.419548
---,---,11.420850,13.418079
---,---,11.421337,13.419302
---,---,11.419636,13.416307
